device=mps dim=128 layers=4 heads=4
vocab=461 train=5533 test=1670
  epoch 1/80  mlm_loss=4.3669
  epoch 2/80  mlm_loss=3.5957
  epoch 3/80  mlm_loss=3.4116
  epoch 4/80  mlm_loss=3.2666
  epoch 5/80  mlm_loss=3.1620
  epoch 6/80  mlm_loss=3.0603
  epoch 7/80  mlm_loss=2.8975
  epoch 8/80  mlm_loss=2.7898
  epoch 9/80  mlm_loss=2.6326
  epoch 10/80  mlm_loss=2.4971
  epoch 11/80  mlm_loss=2.3897
  epoch 12/80  mlm_loss=2.2846
  epoch 13/80  mlm_loss=2.1869
  epoch 14/80  mlm_loss=2.1239
  epoch 15/80  mlm_loss=2.0304
  epoch 16/80  mlm_loss=2.0002
  epoch 17/80  mlm_loss=1.9289
  epoch 18/80  mlm_loss=1.8655
  epoch 19/80  mlm_loss=1.8234
  epoch 20/80  mlm_loss=1.7721
  epoch 21/80  mlm_loss=1.7211
  epoch 22/80  mlm_loss=1.7052
  epoch 23/80  mlm_loss=1.6803
  epoch 24/80  mlm_loss=1.6068
  epoch 25/80  mlm_loss=1.5824
  epoch 26/80  mlm_loss=1.5446
  epoch 27/80  mlm_loss=1.5421
  epoch 28/80  mlm_loss=1.4951
  epoch 29/80  mlm_loss=1.4503
  epoch 30/80  mlm_loss=1.4414
  epoch 31/80  mlm_loss=1.4102
  epoch 32/80  mlm_loss=1.3833
  epoch 33/80  mlm_loss=1.3694
  epoch 34/80  mlm_loss=1.3437
  epoch 35/80  mlm_loss=1.3479
  epoch 36/80  mlm_loss=1.3178
  epoch 37/80  mlm_loss=1.2772
  epoch 38/80  mlm_loss=1.2667
  epoch 39/80  mlm_loss=1.2521
  epoch 40/80  mlm_loss=1.2408
  epoch 41/80  mlm_loss=1.2087
  epoch 42/80  mlm_loss=1.2039
  epoch 43/80  mlm_loss=1.2073
  epoch 44/80  mlm_loss=1.1774
  epoch 45/80  mlm_loss=1.1648
  epoch 46/80  mlm_loss=1.1497
  epoch 47/80  mlm_loss=1.1274
  epoch 48/80  mlm_loss=1.1172
  epoch 49/80  mlm_loss=1.1212
  epoch 50/80  mlm_loss=1.1039
  epoch 51/80  mlm_loss=1.0990
  epoch 52/80  mlm_loss=1.0743
  epoch 53/80  mlm_loss=1.0618
  epoch 54/80  mlm_loss=1.0535
  epoch 55/80  mlm_loss=1.0592
  epoch 56/80  mlm_loss=1.0398
  epoch 57/80  mlm_loss=1.0246
  epoch 58/80  mlm_loss=1.0105
  epoch 59/80  mlm_loss=1.0145
  epoch 60/80  mlm_loss=0.9905
  epoch 61/80  mlm_loss=0.9846
  epoch 62/80  mlm_loss=1.0014
  epoch 63/80  mlm_loss=0.9873
  epoch 64/80  mlm_loss=0.9752
  epoch 65/80  mlm_loss=0.9763
  epoch 66/80  mlm_loss=0.9555
  epoch 67/80  mlm_loss=0.9382
  epoch 68/80  mlm_loss=0.9568
  epoch 69/80  mlm_loss=0.9356
  epoch 70/80  mlm_loss=0.9331
  epoch 71/80  mlm_loss=0.9191
  epoch 72/80  mlm_loss=0.9190
  epoch 73/80  mlm_loss=0.9364
  epoch 74/80  mlm_loss=0.9067
  epoch 75/80  mlm_loss=0.9161
  epoch 76/80  mlm_loss=0.8925
  epoch 77/80  mlm_loss=0.8843
  epoch 78/80  mlm_loss=0.8893
  epoch 79/80  mlm_loss=0.8960
  epoch 80/80  mlm_loss=0.8793
saved encoder -> spec/mlm_large.pt

feature set          dim   test-acc  macro-F1
------------------------------------------------
E MLM-64 (learned)   128    92.51%    80.10%
F hand+MLM           186    95.75%    90.92%
A hand-58 (ref)       58    95.21%    80.33%
